LeeAML_Drug_Name	Alternate_Name	Target_Genes
5-Iodotubercidin		HASPIN;MAPK3;CSNK1G2
ABT-263	Navitoclax	BCL2;CCND1;BCL2L2;BCL2L1;BAD
ABT-888	Veliparib	PARP1;PARP2
Acrichine	Quinacrine	PLA2G6;PLA2G4A;PLCL1;PLA2G1B;SLC22A2;ABCB1
ARQ-197	Tivantinib	MET;TUBB
Arsenic trioxide		IKBKB;TXNRD1;JUN;CCND1;MAPK3;MAPK1;AKT1;CDKN1A;PML;ALB;ABCC2;ABCB1
AS101		ITGA4; ITGAV; CASP1		
AS-605240		PIK3CG
AS-703026	Pimasertib	MAP2K1;MAP2K2
AT-7519		CDK1; CDK2; CDK4; CDK5; CDK6; CDK9
Azacitidine		DNMT1;PARP1;CDA
AZD7762		CHEK1
AZD-8055		MTOR
AZD8330		MAP3K1
BAY 11-7082		IKBKB; NLRP3; USP7; USP21; GSDMD; UBE2N; UBE2L3		
Belinostat	PXD101	UGT1A1;CYP2C8;CYP2C9;CYP1A2;CYP3A4;ABCB1
Bexarotene	Targretin	RXRA;RXRB;RXRG
BEZ-235	NVP-BEZ235	PIK3CG;MTOR
BGT-226		PIK3CA; PIK3CB; PIK3CG; MTOR		
BIBF1120	Vargatef	FLT1;KDR;FLT4;PDGFRA;PDGFRB;FGFR1;FGFR2;FGFR3;FLT3;LCK;LYN;SRC;ALB;ABCB1
BIBW 2992	Tovok	EGFR;ERBB4;ERBB2;ABCB1;ABCG2
BKM-120		PIK3CA;PIK3CB;PIK3CG;PIK3CD
BML 277		CHEK2		
BMS-708163		PSEN1;NCSTN;PSENEN;APH1B;APH1A
BSI-201	Iniparib	PARP1
Busulfan		GSTA1; GSTM1; GSTP1		
C3742	BML-277	CHEK2				
Carboplatin		ERCC1; BRCA1; BRCA2		
Cisplatin		ERCC1; ERCC2; ERCC3; ERCC4; XPA; XPC; BRCA1; BRCA2; MLH1; MSH2; ATP7A; ATP7B; TP53
Cladribine		RRM1;RRM2;RRM2B;POLA1;POLE;POLE2;POLE3;POLE4;PNP;ADA;PARP1;ABCG2;SLC28A3;ABCB1;SLC29A1
Clofarabine		POLA1;RRM1;RRM2B;RRM2;ABCG2
Cytarabine HCl		POLB;SLC22A4;ABCC10;SLC29A1
Daunorubicin HCl		TOP2A;TOP2B;ABCB1;ABCC1;ABCC10;ABCG2;ABCC6
Decitabine		DNMT1;DNMT3A;DNMT3B;SLC28A1
Dexamethasone		NR3C1;NR0B1;ANXA1;NOS2;NR1I2;ALB;ABCB1;SLC22A8;ABCB11;ABCC2;ABCG2;SLCO1A2
E780		CHEK2
EMD-1214063		MET;NISCH;MTNR1B;ALB;ORM1;ABCB1;ABCG2;SLC22A1;SLC22A2;SLC47A1;SLC47A2;ABCB11
Enzastaurin	LY317615	PIK3CG;AKT1;PRKCB;AURKB;AURKA;CDK15;CHEK1;CHEK2;PIK3R1
Erlotinib HCl	Tarceva	NR1I2;EGFR;ALB;ORM1;ABCG2;ABCB1;SLCO2B1
Etodolac	Lodine	PTGS2;PTGS1;RXRA;ALB
Etoposide		TOP2A;TOP2B;ABCC3;ABCC6;ABCB1;ABCC1;ABCC10;ABCC2;ABCG2
Fenretinide		RBP4
Fludarabine		DCK;POLA1;RRM1;ADA;SLC29A1;SLC28A3
FTI-276		FNTA; FNTB; HRAS; KRAS; NRAS			
GANT58		GLI1; GLI2
Gemcitabine HCl		RRM1;RRM2;TYMS;CMPK1;ABCB1;ABCC10;SLC29A1;SLC28A1;SLC29A2;SLC28A3
GF109203X		PRKCA; PRKCB; PRKCG; GSK3B
Hydroxyurea		RRM1;RRM2;ALB;SLCO1A2;SLCO1B1;ALB;SLCO1A2;SLCO1B1;SLCO1B3;SLC14A2;SLC14A1;SLC22A4;SLC22A5
IC-87114		PIK3CD
Irinotecan HCl		TOP1MT;TOP1;ALB;SLC22A3;SLCO1B1;ABCC1;ABCG2;ABCB1;ABCC2
Lomustine, CCNU		STMN4;CYP2D6;CYP3A4
Melphalan		BRCA1; BRCA2; ERCC1; TP53
Mercaptopurine		HPRT1;IMPDH1;PPAT;AOX1;TPMT;XDH
Methotrexate		TYMS;ATIC;DHFR;SLC19A1;SLC46A1;ALB;DHFR;AOX1;MTHFR;PGD;FPGS;TYMS;ATIC;GGH;CYP3A4
MG132		PSMB5; PSMB6; PSMB7; CAPN1; CAPN2
Mitomycin C		ERCC1; XPA; BRCA1; BRCA2; FANCD2
Mitoxantrone		TOP2A;TOP2B;ABCB1;ABCC1;ABCG2
MK2206		UBE2T;AKT3
MS-275	Entinostat	HDAC1
Mubritinib	TAK-165	ERBB2;EGFR
NVP-AUY-922	VER-52296	
NVP-LDE-225		SMO
NVP-TAE-684		ALK; LRRK2
Obatoclax	GX15-070	BCL2;MCL1;BCL2L1
ON 01910.Na	Estybon	PLK1; PIK3CA; PIK3CB; PIK3CG; RAF1; KRAS; HRAS; NRAS; TUBB
OSI-027		MTOR
OSI-906		INSR;IGF1R
Otava 7070707035		CDK4	
Paclitaxel		TUBB1;BCL2;NR1I2;ABCB11;ABCB1;ABCC1;ABCC10;SLCO1B3;ABCC2
PD-0325901		MAP2K1;MAP2K2;ABCB1;ABCG2
